city,timestamp,condition,temperature,humidity,visibility,cloudiness
Burnaby,2020-09-01 15:41:40.750786,clouds,22.850000000000023,64.0,10000.0,84.0
Vancouver,2020-09-01 15:41:40.750786,clouds,22.710000000000036,58.0,10000.0,67.0
Richmond,2020-09-01 15:41:40.750786,clouds,21.830000000000037,72.0,10000.0,20.0
Burnaby,2020-09-01 19:12:56.651464,clear,21.06,70.0,10000.0,1.0
Vancouver,2020-09-01 19:12:56.651464,clouds,21.080000000000037,69.0,10000.0,19.0
Richmond,2020-09-01 19:12:56.651464,clouds,21.110000000000014,69.0,10000.0,15.0
Burnaby,2020-09-01 19:39:58.809564,clouds,20.140000000000047,77.0,10000.0,75.0
Vancouver,2020-09-01 19:39:58.809564,clouds,20.06,77.0,10000.0,75.0
Richmond,2020-09-01 19:39:58.809564,clouds,19.970000000000027,77.0,10000.0,75.0
Burnaby,2020-09-01 19:41:12.481582,clouds,20.140000000000047,77.0,10000.0,75.0
Vancouver,2020-09-01 19:41:12.481582,clouds,20.06,77.0,10000.0,75.0
Richmond,2020-09-01 19:41:12.481582,clouds,19.970000000000027,77.0,10000.0,75.0
